slug	status	registry_row	confidence	notes
acoustica	review		med	Acon Digital Acoustica (v7.7.8, bundle com.AconDigital.Acoustica). Reason: gated. Vendor downloads are account/login-only (acondigital.com routes to store/account; no public trial dmg URL exposed). Only third-party/cracked dmgs found. Homepage 200: https://acondigital.com/products/acoustica
agenda	review		high	Agenda by Momenta B.V. Reason: mas-only. agenda.com offers only the Mac App Store (id1287445660); no vendor-hosted direct dmg. MacUpdate CDN redirect (download.macupdate.com) is not the vendor. Homepage 200: https://agenda.com/
airradar	row	airradar | AirRadar | Scans for wireless networks and maps signal strength with GPS | dmg | direct | https://www.koingosw.com/products/airradar/ | url=https://www.koingosw.com/products/airradar/download/airradar.dmg;vers=https://www.koingosw.com/products/airradar/;vregex=Version (\d+(?:\.\d+)+)	high	"Koingo Software. Verified dmg HTTP 200 (application/x-apple-diskimage) at https://www.koingosw.com/products/airradar/download/airradar.dmg. Version 8.0 (""Version 8.0 - Released January 11, 2026"") on product page. URL is unversioned latest -> static url + version read live from product page via vregex."
akvis-airbrush	row	akvis-airbrush | AKVIS AirBrush | Turns photos into airbrush-style artwork | dmg | direct | https://akvis.com/en/airbrush/index.php | url=https://akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-airbrush-app.dmg;vers=https://akvis.com/en/airbrush/index.php;vregex=AirBrush (\d+(?:\.\d+)+)	high	"AKVIS family (DigitalOcean Spaces CDN, unversioned latest dmg). Verified dmg HTTP 200. Version 9.6 (page title ""AKVIS AirBrush 9.6""). verified: auto-added (CDN host != homepage). vers=product page reads current version."
akvis-artifact-remover-ai	row	akvis-artifact-remover-ai | AKVIS Artifact Remover AI | Removes JPEG compression artifacts using neural networks | dmg | direct | https://akvis.com/en/artifact-remover/index.php | url=https://akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-artifact-remover-app.dmg;vers=https://akvis.com/en/artifact-remover/index.php;vregex=Artifact Remover AI (\d+(?:\.\d+)+)	high	"AKVIS family. Verified dmg HTTP 200 at akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-artifact-remover-app.dmg. Version 3.3 (download.php lists ""Artifact Remover AI 3.3""). Unversioned latest dmg; version read live from product page."
akvis-frames	row	akvis-frames | AKVIS Frames | Adds decorative frames and edge effects to photos | dmg | direct | https://akvis.com/en/frames/index.php | url=https://akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-frames-app.dmg;vers=https://akvis.com/en/frames/index.php;vregex=Frames (\d+(?:\.\d+)+)	high	"AKVIS family. Verified dmg HTTP 200 at akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-frames-app.dmg. Version 8.1 (download.php lists ""Frames 8.1""). Unversioned latest dmg; version read live from product page."
alarm-clock-pro	row	alarm-clock-pro | Alarm Clock Pro | Schedules alarms, reminders, and timed events with audio playback | dmg | direct | https://www.koingosw.com/products/alarmclockpro/ | url=https://www.koingosw.com/products/alarmclockpro/download/alarmclockpro.dmg;vers=https://www.koingosw.com/products/alarmclockpro/;vregex=Version (\d+(?:\.\d+)+)	high	"Koingo Software. Verified dmg HTTP 200 (application/x-apple-diskimage). Version 15.9.3 (""Version 15.9.3 - Released December 22, 2025"") on product page. Unversioned latest dmg; version read live from product page."
alivecolors	row	alivecolors | AliveColors | Image editor with painting, retouching, and AI-based effects | dmg | direct | https://alivecolors.com/en/index.php | url=https://alivecolors.sfo2.cdn.digitaloceanspaces.com/alivecolors.dmg;vers=https://alivecolors.com/en/download.php;vregex=AliveColors (\d+(?:\.\d+)+)	med	"AKVIS-made, separate domain. Verified dmg HTTP 200 (application/x-apple-diskimage, 2.76 GB) at alivecolors.sfo2.cdn.digitaloceanspaces.com/alivecolors.dmg. Version 11.2 (build 11.2.5301, May 2026). Download page shows ""Mac-version will be available soon"" caption but the dmg file is live and current -> med confidence. verified: auto-added (CDN host != homepage)."
amazon-corretto-11	review		high	duplicate of existing Homebrew cask corretto@11
amazon-corretto-17	review		high	duplicate of existing Homebrew cask corretto@17
amazon-corretto-21	review		high	duplicate of existing Homebrew cask corretto@21
amazon-corretto-22	review		med	EOL/non-LTS; Homebrew dropped corretto@22. Download exists arch-split: https://corretto.aws/downloads/resources/22.0.2.9.1/amazon-corretto-22.0.2.9.1-macosx-{x64,aarch64}.pkg ; livecheck github corretto/corretto-22. Authorable as source=custom if Fleet still wants 22.
amazon-corretto-8	review		high	duplicate of existing Homebrew cask corretto@8
anaconda-navigator	review		high	Reason: duplicate. Anaconda Navigator is not a standalone installer; it ships inside the Anaconda3 distribution, already packaged as cask 'anaconda' (v2025.12-2, https://repo.anaconda.com/archive/Anaconda3-2025.12-2-MacOSX-arm64.sh). A standalone Navigator pkg/dmg does not exist; the archive .pkg is the full distribution, not Navigator alone.
anka	review		high	Reason: exists. 'anka' resolves to Anka Virtualization (veertu-latest redirects to downloads.veertu.com/anka/Anka-3.9.0.215.pkg), already shipped as cask 'anka-virtualization' (v3.9.0.215). No new PR needed.
apache-netbeans-15	review		high	Reason: exists. The Friends-of-Apache-NetBeans/netbeans-installers repo is already shipped as cask 'netbeans' (tracks latest, currently nb30-zulu25 = NetBeans 30). homebrew-cask does not keep version-pinned old majors, so a NetBeans-15-pinned cask is not accepted. Homepage 200: https://netbeans.apache.org/
app-cleaner-and-uninstaller	review		high	"Reason: exists. Slug/name match Nektony ""App Cleaner & Uninstaller"" already shipped as cask 'app-cleaner'. The input Installomator expression actually points to freemacsoft AppCleaner (already cask 'appcleaner', v3.6.8). Either target already has a cask -> no new PR."
atlassian-companion	row	"atlassian-companion | Atlassian Companion | Edits Confluence and Jira attachments in their native apps | zip | direct | https://confluence.atlassian.com/display/DOC/Install+Atlassian+Companion | url=https://update-nucleus.atlassian.com/Atlassian-Companion/291cb34fe2296e5fb82b83a04704c9b4/darwin/x64/Atlassian%20Companion-darwin-x64-{v}.zip;vers=https://update-nucleus.atlassian.com/Atlassian-Companion/291cb34fe2296e5fb82b83a04704c9b4/darwin/x64/RELEASES.json;vregex=currentRelease""\s*:\s*""(\d+(?:\.\d+)+)"	high	Verified versioned zip HTTP 200 (148 MB) at .../darwin/x64/Atlassian%20Companion-darwin-x64-3.2.0.zip. Version 3.2.0 from RELEASES.json currentRelease. App is x64-only (Electron; Rosetta on Apple Silicon) -> may want caveats requires_rosetta; harness will read min OS from the app. verified: auto-added (update-nucleus host != confluence homepage).
automounter	row	automounter | AutoMounter | Mounts and remounts network file shares automatically | dmg | direct | https://www.pixeleyes.co.nz/automounter/ | url=https://www.pixeleyes.co.nz/automounter/AutoMounter.dmg;vers=https://www.pixeleyes.co.nz/automounter/version;vregex=[0-9]+(\.[0-9]+)+	high	Pixeleyes (team UKWABN4MGL). Verified dmg HTTP 200 (application/x-apple-diskimage). Version 1.13 returned plain-text by https://www.pixeleyes.co.nz/automounter/version (the Installomator version endpoint). Unversioned latest dmg; version read live from /version page. verified: auto-added (download host == homepage host -> may be dropped by audit).
aws-cli	row	aws-cli | AWS Command Line Interface | Unified tool to manage Amazon Web Services from the command line | pkg | direct | https://aws.amazon.com/cli/ | url=https://awscli.amazonaws.com/AWSCLIV2-{v}.pkg;vers=https://raw.githubusercontent.com/aws/aws-cli/v2/CHANGELOG.rst;vregex=[0-9]+(\.[0-9]+)+	high	"Verified versioned pkg HTTP 200 (55,436,229 bytes, identical size to AWSCLIV2.pkg latest) at https://awscli.amazonaws.com/AWSCLIV2-2.34.64.pkg. Version 2.34.64 is the top entry of CHANGELOG.rst (own line, ""====="" underline -> vregex matches). receipt com.amazon.aws.cli2, team 94KV3E626L. verified: auto-added (awscli.amazonaws.com != aws.amazon.com)."
azul-zulu-jdk-11	review		high	duplicate of existing Homebrew cask zulu@11
azul-zulu-jdk-17	review		high	duplicate of existing Homebrew cask zulu@17
azul-zulu-jdk-21	review		high	duplicate of existing Homebrew cask zulu@21
azul-zulu-jdk-8	review		high	duplicate of existing Homebrew cask zulu@8
beam-studio	custom		high	Reason: arch-split non-electron (custom JSON update feed, not latest-mac.yml). Version 2.5.14. Both dmgs verified HTTP 200: arm64 = https://beamstudio.s3-ap-northeast-1.amazonaws.com/mac-arm64/Beam+Studio+2.5.14.dmg ; intel = https://beamstudio.s3-ap-northeast-1.amazonaws.com/mac/Beam+Studio+2.5.14.dmg . Livecheck source: https://id.flux3dp.com/api/check-update?key=beamstudio-stable (JSON; arm64 under mac-arm64, intel under mac). Homepage 200: https://flux3dp.com/beam-studio/ . FLUX Inc.
brosix	row	brosix | Brosix | Secure instant messaging and collaboration client for teams | pkg | direct | https://www.brosix.com/download/ | url=https://downloads.brosix.com/builds/official/Brosix.pkg;vers=https://www.brosix.com/download/;vregex=version (\d+(?:\.\d+)+)	high	"Verified pkg HTTP 200 (application/octet-stream, 126,907,178 bytes). www.brosix.com/downloads/builds/official/Brosix.pkg 301-redirects to downloads.brosix.com host (use the resolved host). Version 5.2.1 (""version 5.2.1"" on download page). Team TA6P23NW8H. Unversioned latest pkg; version read live from download page. verified: auto-added (downloads.brosix.com != www.brosix.com)."
cakebrew	row	cakebrew | Cakebrew | Graphical interface to manage the Homebrew package manager | zip | direct | https://www.cakebrew.com | url=https://cakebrew-377a.kxcdn.com/cakebrew-{v}.zip;vers=https://www.cakebrew.com/appcast/profileInfo.php;vregex=[0-9]+(\.[0-9]+)+	high	Verified live: https://cakebrew-377a.kxcdn.com/cakebrew-1.3.zip = HTTP 200 application/zip. Version 1.3 (build 594) from Sparkle appcast profileInfo.php (shortVersionString). CDN host != homepage host so verified: auto-added. Homepage cakebrew.com 200.
capture-one	custom		high	Versioned dmg verified live: https://downloads.captureone.pro/d/mac/5b34e26779686357603e50d52e700a0b4b946199/CaptureOne.Mac.16.8.1.5.dmg = HTTP 200 application/x-apple-diskimage. Version 16.8.1.5. Livecheck (sparkle): https://www.captureone.com/update/capture-one-mac.xml (item[1] enclosure). CUSTOM because the download URL contains a per-release hash path segment (/d/mac/<hash>/) not derivable from version, so url cannot be templated.
cato-client	custom		high	Versioned pkg verified live: https://clients.catonetworks.com/macos/5.13.0.10208/CatoClient.pkg = HTTP 200 (binary). Version 5.13.0.10208 (Installomator reports 5.13.0). Livecheck: 301 redirect from https://clientdownload.catonetworks.com/public/clients/CatoClient.pkg -> Location header carries version (header_match). CUSTOM because version lives in a redirect Location header (not an HTML page), so the direct/page_match source does not fit; needs :header_match livecheck. Homepage catonetworks.com/sase 200.
cloudya	custom		high	"Versioned zip verified live: https://cdn.cloudya.com/cloudya-2.2.0-mac.zip = HTTP 200 application/zip. Version 2.2.0 from NFON downloads page. CUSTOM: appInDmgInZip - the zip contains cloudya-2.2.0.dmg (a DMG nested in the ZIP) which contains the .app; needs nested_container handling, not a plain zip/dmg artifact. Note ""nested"". Homepage nfon.com/de/service/downloads 200."
code42	custom		high	latest-mac.dmg 302-redirects to https://download-preservation.code42.com/installs/agent/cloud/12.6.0/33/install/Code42_12.6.0_15252000061260_33_Mac-x86-64.dmg = HTTP 200 (binary). Version 12.6.0. CUSTOM: pkgInDmg, x86-64-only build, filename embeds non-derivable build tokens (12.6.0_15252000061260_33) so url not templatable; resolve via the latest-mac.dmg redirect.
cricut-design-space	custom		high	Current version 9.72.68 confirmed live via Cricut API: https://apis.cricut.com/desktopdownload/UpdateJson?operatingSystem=osxnative&shard=a -> result -> latest.json rolloutVersion=9.72.68. Download is a time-limited SIGNED CloudFront URL (https://staticcontent.cricut.com/a/software/osx-native/CricutDesignSpace-Install.dmg?Expires=...&Signature=...) obtained via https://apis.cricut.com/desktopdownload/InstallerFile?...&fileName=CricutDesignSpace-Install-v9.72.68.dmg. CUSTOM: signed/expiring URL cannot be templated into a stable cask url.
daylite	custom		high	Latest version 2026.21.0 (build 20819) from Sparkle appcast https://www.daylite.app/appcasts/daylite.xml (was marketcircle.com/appcasts/daylite.xml, 301). Versioned enclosure verified present: https://www.daylite.app/appcasts/releases/daylitedma-releases-2026.21.0.b20819.2026-05-26-0955.zip. CUSTOM: enclosure URL embeds a build date stamp (.b20819.2026-05-26-0955) not derivable from version; the stable alias https://www.marketcircle.com/downloads/latest-daylite redirects to an unversioned latest-daylite.zip. Livecheck via the appcast.
dedoose	custom		high	"Verified live: https://downloads.dedoose.com/dedoose-app-releases/Dedoose-Mac.dmg = HTTP 200; content-disposition filename ""Dedoose-Mac-v10.1.5.dmg"" gives version 10.1.5. CUSTOM: download URL is unversioned (always-latest); version only available from the content-disposition header -> needs :header_match livecheck, which the direct/page_match source does not provide. Homepage dedoose.com 200."
depnotify	custom		high	Verified live: https://files.jamfconnect.com/DEPNotify.pkg = HTTP 200 (binary). Current version 1.1.6 from GitHub releases https://github.com/jamf/DEPNotify/releases (asset DEPNotify.pkg). CUSTOM: pkg URL is unversioned (always-latest) and hosted off-GitHub at files.jamfconnect.com, while the version/livecheck source is the GitHub releases page - does not fit github_tag (asset not on the release) nor versioned direct.
displaylink-manager	custom		high	Verified live: https://www.synaptics.com/sites/default/files/exe_files/2026-05/DisplayLink%20Manager%20Graphics%20Connectivity16.1-EXE.pkg = HTTP 200. Version 16.1 (released 2026-05-22) from https://www.synaptics.com/products/displaylink-graphics/downloads/macos. CUSTOM: pkg URL path embeds a non-derivable year-month folder (2026-05) and a space-laden filename; must be scraped from the product page (dynamic-scrape), so url is not templatable from version alone.
docker	custom		high	Verified live: https://desktop.docker.com/mac/main/arm64/Docker.dmg = HTTP 200. Current version 4.77.0 from Sparkle appcast https://desktop.docker.com/mac/main/arm64/appcast.xml. CUSTOM: download URL is unversioned always-latest (arch-split arm64/amd64 dmgs at fixed paths); livecheck via the appcast (:sparkle). Homepage docker.com/products/docker-desktop 200. (Note: a docker cask already exists in homebrew-cask.)
doctolib	review		low	"https://ddv-install.doctolib.fr/DoctolibProDesktop-latest-arm64.dmg = HTTP 200 but URL is an unversioned ""latest"" alias (arm64-only) with NO version in URL, headers, or any public version page; Installomator label provides no appNewVersion. No verifiable version or livecheck source -> cannot author honestly. Reason: no-version."
dragonframe-2024	row	dragonframe-2024 | Dragonframe 2024 | Stop-motion animation and time-lapse capture tool | pkg | direct | https://www.dragonframe.com/downloads/ | url=https://www.dragonframe.com/download/Dragonframe_{v}.pkg;vers=https://www.dragonframe.com/downloads/;vregex=2024\.[0-9]+\.[0-9]+	high	Verified live (Safari UA): https://www.dragonframe.com/download/Dragonframe_2024.09.3.pkg = HTTP 200 application/octet-stream. Latest 2024-series = 2024.09.3 (top of the 2024 list on the downloads page). Same host as homepage so no verified:. NOTE: dragonframe.com returns 406 to a bare curl/* UA but 200 to Ruby/browser UAs (brew's downloader+livecheck reach it); add user_agent: :fake at validation if brew download 406s.
dragonframe-2025	row	dragonframe-2025 | Dragonframe 2025 | Stop-motion animation and time-lapse capture tool | pkg | direct | https://www.dragonframe.com/downloads/ | url=https://www.dragonframe.com/download/Dragonframe_{v}.pkg;vers=https://www.dragonframe.com/downloads/;vregex=2025\.[0-9]+\.[0-9]+	high	Verified live (Safari UA): https://www.dragonframe.com/download/Dragonframe_2025.09.6.pkg = HTTP 200 application/octet-stream. Latest 2025-series = 2025.09.6 (top of the 2025 list). Same host as homepage so no verified:. Same UA-gating note as dragonframe-2024 (406 to bare curl, 200 to Ruby/browser UA).
dragonframe-5	row	dragonframe-5 | Dragonframe 5 | Stop-motion animation and time-lapse capture tool | pkg | direct | https://www.dragonframe.com/downloads/ | url=https://www.dragonframe.com/download/Dragonframe_{v}.pkg;vers=https://www.dragonframe.com/downloads/;vregex=5\.[0-9]+\.[0-9]+	high	Verified live (Safari UA): https://www.dragonframe.com/download/Dragonframe_5.2.8.pkg = HTTP 200 application/octet-stream. Latest v5-series = 5.2.8. bundle id com.dzed.Dragonframe5. Same host as homepage so no verified:. Same UA-gating note as dragonframe-2024 (406 to bare curl, 200 to Ruby/browser UA).
dstny	review		low	https://soft.dstny.se/dstny_mac.dmg = HTTP 200 application/octet-stream but URL is unversioned; only last-modified (2024-07-02) in headers, no version anywhere and no public version page or appcast. Installomator label gives no appNewVersion. No verifiable version/livecheck -> cannot author honestly. Reason: no-version.
epos-connect	review		med	Current Mac version 8.3.0.49911 (MacUpdater, 2025-09-22) but the direct .pkg URL cannot be verified: https://www.eposaudio.com/en/dk/software/epos-connect returns HTTP 403 to bots (Akamai) and the .pkg link is JS-rendered (curl/WebFetch scrape yields nothing). Also distributed via Mac App Store (id1531293584). Reason: gated.
everweb	custom		med	Live dmg https://www.ragesw.com/downloads/everweb/everweb.dmg (302 -> https://www.ragesw.com/files/everweb/everweb.dmg, 200 application/x-apple-diskimage, last-modified 2025-12-19). UNVERSIONED url (no versioned URL exists; legacy everweb<digits>.dmg pattern 404s for current). Current stable version 4.4.3 (changelog https://www.everwebapp.com/change-log/index.html). CUSTOM: url not version-templatable -> needs version :latest + sha256 :no_check; do NOT page_match the changelog (it lists 4.5.0 beta first while stable dmg is 4.4.3). homepage https://www.everwebapp.com/ (200).
final-draft-12	custom		high	Live zip https://www.finaldraft.com/downloads/finaldraft12011Mac.zip (200 application/zip, 133MB). Version 12.0.11 (filename digits 12011, scraped from https://www.finaldraft.com/support/install-final-draft/install-final-draft-12-macintosh/ which 200s). appInDmgInZip = .app inside .dmg inside .zip (3-level nested) -> CUSTOM: harness inspector cannot unwrap dmg-in-zip; filename strips dots (12.0.11->12011). Livecheck: page_match install page for finaldraft(\d+)Mac.zip. homepage https://www.finaldraft.com (200).
final-draft-13	custom		high	Live zip https://www.finaldraft.com/downloads/finaldraft1332Mac.zip (200 application/zip, 127MB). Version 13.3.2 (filename digits 1332, scraped from https://www.finaldraft.com/support/install-final-draft/install-final-draft-13-macintosh/ which 200s; min OS 12). appInDmgInZip (3-level nested) -> CUSTOM same as FD12: dmg-in-zip not inspectable by harness; dots stripped (13.3.2->1332). Livecheck: page_match install page. homepage https://www.finaldraft.com (200).
flowjo	custom		high	Arch-split dmgs (non-electron) verified 200: arm64 https://downloads.bdaccessportal.com/v11/mac/arm64/FlowJo-11.2.0-arm64.dmg (407MB), intel https://downloads.bdaccessportal.com/v11/mac/x64/FlowJo-11.2.0-x64.dmg (421MB). Version 11.2.0, min OS Ventura (13). CUSTOM: arch-split non-electron, no latest-mac.yml. Livecheck: scrape https://www.flowjo.com/flowjo/download for FlowJo-(\d+\.\d+\.\d+)-arm64.dmg. homepage https://www.flowjo.com (200).
grammarly	row	grammarly | Grammarly | Writing assistant for grammar, spelling, and style suggestions | dmg | direct | https://www.grammarly.com/desktop | url=https://download-mac.grammarly.com/versions/{v}/Grammarly.dmg;vers=https://download-mac.grammarly.com/appcast.xml;vregex=[0-9]+(\.[0-9]+)+	high	Sparkle appcast https://download-mac.grammarly.com/appcast.xml (200) gives version 1.169.1.0 (shortVersion 1.169.1) + versioned enclosure https://download-mac.grammarly.com/versions/1.169.1.0/Grammarly.dmg (verified 200, 104541427 bytes = same file as unversioned Grammarly.dmg). Use 4-part version 1.169.1.0 for URL path. Min OS 10.15 (catalina). verified: download-mac.grammarly.com auto-added (host != grammarly.com). bundle com.grammarly.ProjectLlama, team W8F64X92K3.
grasshopper	custom		low	Live dmg https://dl.grasshopper.com/Grasshopper.dmg (200 application/x-apple-diskimage, 207MB, last-modified 2026-02-24). UNVERSIONED url, NO version in headers/content-disposition and NO vendor version page found (third-party MacUpdate shows ~1.0.51, not authoritative). CUSTOM: needs version :latest + sha256 :no_check (no verifiable version source). bundle com.grasshopper.ghclient, team KD6L2PTK2Q. homepage https://grasshopper.com/ (200).
guardian-browser	custom		high	Electron arch-split with PER-ARCH latest-mac.yml feeds (version 3.14.0): arm feed https://production-archimedes-secure-browser-artifacts.s3.amazonaws.com/latest/mac-arm64/latest-mac.yml, intel feed .../latest/mac-x64/latest-mac.yml. Dmgs are UNVERSIONED (verified 200): arm https://production-archimedes-secure-browser-artifacts.s3.amazonaws.com/latest/mac-arm64/guardian-browser-arm64.dmg (264MB), intel .../latest/mac-x64/guardian-browser-x64.dmg (270MB). CUSTOM: two separate feeds + unversioned dmg filenames don't fit electron template (which needs one feed + versioned filenames). Proctoring browser, publicly downloadable. homepage https://guardian.meazurelearning.com/ (200).
huddly	custom		high	Live download https://app.huddly.com/download/latest/osx (200, content-disposition filename Huddly-3.6.3-osx-x64.dmg, 98MB). Version 3.6.3 from content-disposition; x64-only (osx-arm64/osx-universal 404). UNVERSIONED url -> CUSTOM: version only in content-disposition header (header_match livecheck), url not version-templatable. App is x64 (add caveats requires_rosetta on arm). homepage https://www.huddly.com (200), team J659R47HZT.
hudl-sportscode	custom		high	Live nested zip https://sportscode64-updates.s3.amazonaws.com/PublicReleaseDmgs/HudlSportscode-12.81.1.dmg.zip (200 application/zip, 127MB). Version 12.81.1, requires Sequoia 15.0+ (per hudl.com/downloads/elite, 200). appInDmgInZip = dmg-in-zip (nested) -> CUSTOM: harness inspector cannot unwrap dmg-in-zip. url is version-templatable (HudlSportscode-{v}.dmg.zip) but no clean static version page (elite page is JS-rendered). depends_on macos: :sequoia. homepage https://www.hudl.com/downloads/elite (200), team 4M6T2C723P.
hudl-studio	row	hudl-studio | Hudl Studio | Creates animated sports graphics and telestration for video | dmg | direct | https://www.hudl.com/downloads/elite | url=https://studio-releases.s3.amazonaws.com/Studio-{v}.dmg;version=2.2.8	high	Live versioned dmg https://studio-releases.s3.amazonaws.com/Studio-2.2.8.dmg (verified 200, 260MB). Version 2.2.8 (per hudl.com/downloads/elite, 200), min OS Monterey (12). Used bare version=2.2.8: elite page is JS-rendered (no static version) and S3 listing sorts 'Studio (alpha)' builds before stable so page_match is unreliable. verified: studio-releases.s3.amazonaws.com auto-added. Livecheck TODO (add later); team 2YLQ7PASUE. depends_on macos: :monterey.
ipsw-updater	custom		high	Live versioned zip https://ipsw.app/download/IPSWUpdater-v202604151.zip (verified 200 application/zip, 3.1MB). Version 2026.4.15-1 (top of release notes https://ipsw.app/download/updates.php, 200). CUSTOM: version (2026.4.15-1) != filename token (202604151, zero-padded month, dots/dash stripped) so not a clean {v} interpolation. Hosted on ipsw.app (GitHub freegeek-pdx/IPSW-Updater has no release assets). Livecheck: page_match updates.php. homepage https://ipsw.app/ (200), team YRW6NUGA63.
jamf-connect-configuration	custom		high	Shared dmg https://files.jamfconnect.com/JamfConnect.dmg (verified 200 application/x-apple-diskimage, 28MB, x-amz-meta-version: 3.10.0). Artifact for this token = 'Jamf Connect Configuration.app' (drag-install) inside the dmg. UNVERSIONED url; version 3.10.0 only in x-amz-meta-version response header. CUSTOM: version from header (header_match), url not version-templatable, and same dmg is shared with jamf-connect-login (different artifact). homepage https://www.jamf.com/products/jamf-connect/ (200), team 483DWKW443.
