slug	status	registry_row	confidence	notes
jamf-connect-login	custom		high	Same shared dmg https://files.jamfconnect.com/JamfConnect.dmg (verified 200, x-amz-meta-version: 3.10.0). Artifact for this token = 'Jamf Connect.pkg' (pkgInDmg) inside the dmg (receipt com.jamf.connect.login; bundles JamfConnectLaunchAgent.pkg). UNVERSIONED url; version 3.10.0 from x-amz-meta-version header. CUSTOM: version from header (header_match), url not version-templatable, shared dmg with jamf-connect-configuration. homepage https://www.jamf.com/products/jamf-connect/ (200), team 483DWKW443.
lg-calibration-studio	custom		high	Live download https://gscs-b2c.lge.com/downloadFile?fileId=mp6Ez3DAnsO4r3HuzRaLfw (verified 200, content-disposition Mac_LCS_7.6.8.zip, 69MB). Version 7.6.8 (scraped from LG support page https://www.lg.com/us/support/product/lg-34WK95U-W.AUS, 200). pkgInZip = pkg inside zip. CUSTOM: download URL keyed by OPAQUE fileId (mp6Ez3...) that is NOT version-derived, so url not reconstructable from {v}; fileId+version must be re-scraped from the LG support page each release. Livecheck: page_match LG support page for 'LG Calibration Studio - version (X.Y.Z)'. homepage = that LG page (200), team 5SKT5H4CPQ.
lucidlink	row	lucidlink | LucidLink | Streams files from cloud object storage as a local drive | pkg | direct | https://www.lucidlink.com/download | url=https://d3il9duqikhdqy.cloudfront.net/latest/osx/lucid-{v}.pkg;version=2.10.8237	high	Vendor URL https://www.lucidlink.com/download/latest/osx/stable 308-redirects to versioned cloudfront pkg https://d3il9duqikhdqy.cloudfront.net/latest/osx/lucid-2.10.8237.pkg (verified 200 application/vnd.apple.installer+xml, 372MB). Version 2.10.8237. Used bare version (version lives only in the redirect Location header, no HTML version page). RECOMMENDED livecheck = :header_match on https://www.lucidlink.com/download/latest/osx/stable regex lucid-(\d+(?:\.\d+)+)\.pkg (direct source emits page_match only; switch to header_match on-Mac). verified: cloudfront host auto-added. team Y4KMJPU2B4.
luna-display	row	luna-display | Luna Display | Turns an iPad or second device into an external display | dmg | direct | https://astropad.com/getting-started/luna-display/ | url=https://downloads.astropad.com/luna/mac/LunaDisplay-{v}.dmg;version=5.3.8.4999	high	Vendor URL https://downloads.astropad.com/luna/mac/latest 301-redirects to versioned dmg https://downloads.astropad.com/luna/mac/LunaDisplay-5.3.8.4999.dmg (verified 200 application/x-apple-diskimage, 51MB). Version 5.3.8.4999. Used bare version (version only in redirect Location header, no HTML version page). RECOMMENDED livecheck = :header_match on https://downloads.astropad.com/luna/mac/latest regex LunaDisplay-(\d+(?:\.\d+)+)\.dmg (direct emits page_match only; switch to header_match on-Mac). verified: downloads.astropad.com auto-added. homepage https://astropad.com/getting-started/luna-display/ (200), team 8356ZZ8Y5K.
masv	row	masv | MASV | Transfers large media files at high speed | dmg | electron | https://massive.io | feed=https://dl.massive.io/latest-mac.yml;universal=masv-{v}-universal	high	electron-builder latest-mac.yml https://dl.massive.io/latest-mac.yml (200 text/yaml) gives version 2.11.5 + universal dmg masv-2.11.5-universal.dmg (verified 200 application/x-apple-diskimage, 229616504 bytes = same file as unversioned MASV.dmg). Single universal dmg. livecheck :electron_builder. homepage https://massive.io (200), team VHKX7RCAY7.
mestrenova	row	mestrenova | Mestrenova | Processes and analyzes NMR, LC/GC/MS and other analytical chemistry data | dmg | direct | https://mestrelab.com | url=https://mestrelab.com/downloads/mnova/mac/MestReNova-{v}.dmg;version=16.0.0-39276	med	Verified live 200 (application/x-apple-diskimage): https://mestrelab.com/downloads/mnova/mac/MestReNova-16.0.0-39276.dmg . Current = 16.0.0 build 39276 (confirmed via AutoPkg andrewvalentine recipe pattern MestReNova-<ver>-<build>.dmg + chemnmrlab.uchicago.edu/chemweb.ir 2026). Filename embeds build, so version=16.0.0-39276 (hyphen). Download page is JS-rendered/Cloudflare (not scrapable) so no page_match vers source; static version set. Audit will likely want a livecheck (none reliable) -> may need manual :page_match if Mestrelab exposes a static listing. Host=homepage host (mestrelab.com) so no verified:.
microsoft-company-portal	custom		high	Resolved via Microsoft AutoUpdate Sparkle feed https://officecdnmac.microsoft.com/pr/C1297A47-86C4-4C1F-97FA-950631F94777/MacAutoupdate/0409IMCP01.xml -> first dict Location=CompanyPortal_5.2604.1-Upgrade.pkg, then -Upgrade->-Installer. Versioned download (verified 200, application/octet-stream): https://res.public.onecdn.static.microsoft/mro1cdnstorage/C1297A47-86C4-4C1F-97FA-950631F94777/MacAutoupdate/CompanyPortal_5.2604.1-Installer.pkg . Version 5.2604.1. Livecheck = MAU appcast (:sparkle on 0409IMCP01.xml). Custom because: download URL derived from a Sparkle feed with a UUID CDN path + the -Upgrade->-Installer rewrite (not aka.ms), and the pkg bundles Microsoft AutoUpdate (needs pkg choices: deselect com.microsoft.autoupdate + quit: com.microsoft.autoupdate2). Homepage https://learn.microsoft.com/en-us/mem/intune/apps/apps-company-portal-macos (200).
microsoft-powershell	custom		high	Arch-split GitHub pkg release (PowerShell/PowerShell), tag v7.6.2. Both verified live 200: arm64 https://github.com/PowerShell/PowerShell/releases/download/v7.6.2/powershell-7.6.2-osx-arm64.pkg (sha256 d6645230f2cc8f8db5c5b2896c583e89d9299e6efedec0a55eed3d0963d01949) ; x64 https://github.com/PowerShell/PowerShell/releases/download/v7.6.2/powershell-7.6.2-osx-x64.pkg (sha256 5d96c383a86711bff39bc0c55fe50c3482696d10a256015f17bcb1d2658f1340). Version 7.6.2. Livecheck :github_latest. Custom because two separate per-arch .pkg assets (not single-asset github_tag). Token microsoft-powershell avoids the homebrew-core 'powershell' formula collision. Homepage https://github.com/PowerShell/PowerShell (200).
microsoft-skype-for-business	row	microsoft-skype-for-business | Microsoft Skype for Business | Enterprise instant messaging and online meeting client | pkg | msft_cdn | https://learn.microsoft.com/en-us/skypeforbusiness/ | short=https://go.microsoft.com/fwlink/?linkid=832978;regex=SkypeForBusinessUpdater-(\d+(?:\.\d+)+)\.pkg	med	fwlink 832978 still resolves (302) to a live versioned pkg (verified 200, application/octet-stream): https://res.public.onecdn.static.microsoft/mro1cdnstorage/C1297A47-86C4-4C1F-97FA-950631F94777/MacAutoupdate/SkypeForBusinessUpdater-16.30.32.pkg . Version 16.30.32. Livecheck :header_match on the fwlink. CAVEAT: product is end-of-life and the pkg is the MAU 'Updater' package (not a full standalone installer) - flagged but a real versioned pkg verifiably downloads. verified: derived from CDN host res.public.onecdn.static.microsoft/. Homepage learn.microsoft.com/skypeforbusiness (200). Note: existing 'skype-for-business' cask is a different/older token; microsoft-skype-for-business is free.
network-share-mounter	row	network-share-mounter | Network Share Mounter | Mounts network shares automatically using stored credentials | pkg | direct | https://gitlab.rrze.fau.de/faumac/networkShareMounter | url=https://gitlab.rrze.fau.de/api/v4/projects/506/packages/generic/networksharemounter/release-{v}/NetworkShareMounter-{v}.pkg;vers=https://gitlab.rrze.fau.de/api/v4/projects/506/releases;vregex=release-([0-9]+(?:\.[0-9]+)+)	high	Verified live 200 (application/octet-stream): https://gitlab.rrze.fau.de/api/v4/projects/506/packages/generic/networksharemounter/release-4.1.0/NetworkShareMounter-4.1.0.pkg . Version 4.1.0 from GitLab releases API (release-4.1.0). vregex tested -> matches release-4.1.0. Download host = homepage host (gitlab.rrze.fau.de) so NO verified:. pkg receipt de.fau.rrze.NetworkShareMounter (team C8F68RFW4L). Homepage gitlab.rrze.fau.de/faumac/networkShareMounter (200).
nodejs	row	nodejs | Node.js | JavaScript runtime built on the V8 engine | pkg | direct | https://nodejs.org | url=https://nodejs.org/dist/v{v}/node-v{v}.pkg;vers=https://nodejs.org/dist/latest/;vregex=node-v([0-9]+(?:\.[0-9]+)+)\.pkg	high	Verified live 200 (application/x-xar = pkg): https://nodejs.org/dist/v26.3.0/node-v26.3.0.pkg . Current (latest) channel = v26.3.0 (matches Installomator /dist/latest/ expression). vers page https://nodejs.org/dist/latest/ always lists node-vX.Y.Z.pkg; vregex captures 26.3.0. {v} interpolated twice (dir + filename). Download host = homepage host (nodejs.org) so no verified:. (LTS is v24.16.0 but source expression tracks Current.) Homepage nodejs.org (200). Token nodejs avoids homebrew-core 'node' formula.
nvivo-14	custom		high	Unversioned alias https://download.qsrinternational.com/Software/NVivo14forMac/NVivo.dmg 302-redirects to versioned https://download.qsrinternational.com/Software/NVivo14forMac/14.24.0.52/NVivo14.dmg (verified 200, application/octet-stream, 736MB). Current 14.24.0.52. Livecheck must be :header_match on the unversioned alias (regex captures version from Location path) - direct source uses :page_match (no HTML version page exists), so custom. AutoPkg jazzace recipe confirms version is only knowable from the binary/redirect. All Lumivero/qsrinternational homepages 403 brew (Akamai) - reachable sub-page needed (e.g. https://help-nv.qsrinternational.com also 403; use a 200 page at author time). Paid product but the .dmg is a public unauthenticated download.
nvivo-15	custom		high	Unversioned alias https://download.qsrinternational.com/Software/NVivo15forMac/NVivo15.dmg 302-redirects to versioned https://download.qsrinternational.com/Software/NVivo15forMac/15.5.0.215/NVivo15.dmg (verified 200, application/octet-stream, 720MB). Current 15.5.0.215. Livecheck must be :header_match on the unversioned alias (direct source's :page_match cannot read the redirect Location; no HTML version page), so custom. bundle id com.lumivero.nvivo-15 (team 8F4S7H8S59). Lumivero/qsrinternational homepages 403 brew (Akamai) - pick a 200 sub-page at author time. Public unauthenticated .dmg.
onscreen-control	review		low	REVIEW: broken. Installomator label 'onscreencontrol' is flagged broken (issue #1881: vendor changed installer/website). The Mac path https://lmu.lge.com/ExternalService/onscreencontrol/mac/2.0/ returns NotAllowedPage; every probed filename (OnScreenControl_2.0x.zip etc.) returns content-length 15, content-type text/html (soft-404). No verifiable Mac download exists. (Win path serves OnScreenControl_6.82.zip, but no working Mac equivalent.)
particulars	row	particulars | Particulars | Displays detailed hardware and system information in the menu bar | pkg | direct | https://particulars.app | url=https://particulars.app/_downloads/Particulars-{v}.pkg;version=68.485	med	'Particulars-latest.pkg' 302-redirects to https://particulars.app/_downloads/Particulars-68.485.pkg (verified 200, 5MB; then proxies to gitlab.com package_files). Current version 68.485 (note: vendor uses build-style version 68.485). No HTML version page found, so static version=68.485 (audit may want a livecheck; release source is gitlab.com/fraserhess/particulars). Download host = homepage host (particulars.app) so no verified:. pkg receipt net.glencode.Particulars (team 2Z25XDNP2X). Homepage particulars.app (200).
plantronics-hub	review		high	REVIEW: discontinued. https://www.poly.com/content/dam/www/software/PlantronicsHubInstaller.dmg now 301-redirects to https://www.hp.com/us-en/poly.html (HTML page, not a dmg) following the Poly->HP migration. No versioned .dmg is served; the installer download has been removed. Plantronics Hub is being retired in favor of Poly Lens.
poll-everywhere	row	poll-everywhere | Poll Everywhere | Live audience response and interactive polling client | dmg | direct | https://www.polleverywhere.com | url=https://polleverywhere-app.s3.amazonaws.com/mac-stable/{v}/pollev.dmg;vers=https://www.polleverywhere.com/app/releases/mac;vregex=[0-9]+(\.[0-9]+)+	high	Verified live 200 (application/octet-stream): https://polleverywhere-app.s3.amazonaws.com/mac-stable/4.0.1/pollev.dmg . Version 4.0.1 (version is in the URL path, not filename). vers page https://www.polleverywhere.com/app/releases/mac has <h3>4.0.1</h3> as the newest entry; vregex [0-9]+(\.[0-9]+)+ -> 4.0.1 (first match). Download host (polleverywhere-app.s3.amazonaws.com) != homepage host -> verified: polleverywhere-app.s3.amazonaws.com/ auto-added. Homepage polleverywhere.com (200).
projectplace	review		med	REVIEW: unversioned, no livecheck. https://service.projectplace.com/client_apps/desktop/Projectplace-for-mac.dmg serves directly (200, 14MB) with NO redirect, NO version in URL/content-disposition. Installomator entry has empty appNewVersion (no version detection). No public appcast/version feed found (Planview ProjectPlace). Cannot derive a versioned URL or a livecheck source -> not cleanly cask-able.
rhino-7	review		high	REVIEW: paid, gated. Rhino is commercial (McNeel). No public unauthenticated versioned .dmg URL: rhino3d.com download flow (/download/rhino-for-mac/7|8/...) redirects to the evaluation page which requires joining/logging into the McNeel community; files.mcneel.com and dujour API probes all 404. Sparkle in-app updater feed is not publicly resolvable to a download. Only a login-gated 90-day eval exists. (Rhino 7 Mac latest ~7.x; no verifiable public URL.)
rhino-8	review		high	REVIEW: paid, gated. Same as rhino-7: commercial McNeel app, download behind community-login/evaluation gate (rhino3d.com/download/rhino-for-mac/8/latest -> .../evaluation/, login required). Latest eval 8.31.26126.13432 (2026-05-06, ~705MB) but no public unauthenticated versioned .dmg URL; files.mcneel.com/dujour probes 404. No verifiable public download.
screencloud-player	row	screencloud-player | ScreenCloud Player | Displays digital signage content on connected screens | dmg | electron | https://screencloud.com/download | feed=https://release.screen.cloud/player/desktop/channel/stable/latest-mac.yml;arm=scplayer_{v}_darwin_arm64;intel=scplayer_{v}_darwin_x64	high	Electron-builder feed verified: https://release.screen.cloud/player/desktop/channel/stable/latest-mac.yml -> version 3.12.0, files scplayer_3.12.0_darwin_arm64.dmg + scplayer_3.12.0_darwin_x64.dmg. Both verified live 200 (application/x-apple-diskimage). Livecheck :electron_builder. Arch-split dmg. Download host (release.screen.cloud) != homepage host -> verified added automatically by electron resolver if needed. team 3C4F953K6P. Homepage screencloud.com/download (200).
signiant-app	row	signiant-app | Signiant App | Accelerated large file transfer client for Media Shuttle | dmg | direct | https://help.signiant.com/media-shuttle/signiant-app/download-signiant-app | url=https://updates.signiant.com/signiant_app/Signiant_App_{v}.dmg;vers=https://updates.signiant.com/signiant_app/signiant-app-info-mac.json;vregex=Signiant_App_([0-9]+(?:\.[0-9]+)+)\.dmg	high	Verified live 200 (application/x-apple-diskimage, 29MB): https://updates.signiant.com/signiant_app/Signiant_App_1.5.1818.dmg . JSON feed signiant-app-info-mac.json gives file=Signiant_App_1.5.1818.dmg (osx version 1.5.1818.19ab9e18). version=1.5.1818. vregex anchored to filename in the JSON (avoids the git-hash-suffixed version field). Download host (updates.signiant.com) != homepage host -> verified: updates.signiant.com/ auto-added. Homepage www.signiant.com 403s brew; used help.signiant.com download page (200). team U6ZZ4QLU4Q.
sketchup-viewer	ineligible		high	"SketchUp Viewer for Desktop discontinued; ""Beginning April 22, 2025, SketchUp Viewer for Desktop will no longer be available to download"" (help.sketchup.com/en/sketchup-viewer/sketchup-viewer-desktop). No public macOS dmg exists anymore; Installomator scrape now returns nothing. Reason: discontinued."
soundly	review		low	Only an unversioned always-latest dmg: https://storage.googleapis.com/soundlyapp/Soundly.dmg (HTTP 200, app/x-apple-diskimage, last-modified 2026-06-05). No public version feed/appcast (storage.googleapis.com/soundlyapp/*.xml and getsoundly version endpoints 403/404). Calendar version only on 3rd-party trackers (macupdater: 2025.12.23). No versioned URL + no livecheck. Reason: unversioned.
splashtop-sos	review		low	"Only an unversioned always-latest dmg: https://download.splashtop.com/sos/SplashtopSOS.dmg (HTTP 200). Splashtop docs state the link ""will always download the latest version""; no per-version URL. Latest noted v3.8.0.7 (support article, Apr 2026) but no machine-readable version feed. On-demand attended-support tool. Reason: unversioned."
strongdm	custom		high	"Universal dmg. Stable alias https://app.strongdm.com/downloads/client/darwin 307-redirects to https://downloads.strongdm.com/builds/desktop/23.74.0/darwin-universal-full/AE48C598EF267EBBAE9EC238113422A66DD0846E/SDM-23.74.0.dmg (HTTP 200; content-disposition filename=""SDM-23.74.0.dmg""). Version 23.74.0. Real URL contains a per-build hash segment (not derivable from version) so no stable versioned url template; custom. Livecheck: :header_match on the alias, regex SDM-(\d+(?:\.\d+)+)\.dmg. homepage https://www.strongdm.com (200). artifact=dmg, universal."
surfdrive	review		med	"Gated. Installomator source page (servicedesk.surf.nl/wiki/.../74225443) is login-only (Confluence REST returns authorized:false / 404). SURF's public ""Getting the Nextcloud desktop app"" page (205193802) now directs users to the generic Nextcloud desktop client (nextcloud.com / Mac App Store), not a SURF-branded pkg. arm64 client noted v5.3.2 (Feb 2025) but no public SURF-branded versioned pkg URL. Reason: gated."
synology-active-backup-for-business-agent	custom		high	pkgInDmg (nested pkg). Versioned dmg verified HTTP 200: https://global.download.synology.com/download/Utility/ActiveBackupBusinessAgent/3.2.0-5053/Mac/x86_64/Synology%20Active%20Backup%20for%20Business%20Agent-3.2.0-5053.dmg (also on global.synologydownload.com). Version 3.2.0-5053 (full version used in both path and filename). Livecheck: :page_match on https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent (latest dir, regex >([\d.-]+)<). Custom because pkgInDmg (inner pkg name resolved on-Mac after mounting) and the cask-master direct writer can't reference the inner pkg. artifact=pkg (nested). receipt hint com.synology.activebackup-agent. homepage https://www.synology.com/en-global/dsm/feature/active_backup_business (200).
synology-drive-client	custom		high	"pkgInDmg (nested pkg). Versioned dmg verified HTTP 200: https://global.download.synology.com/download/Utility/SynologyDriveClient/4.0.3-17892/Mac/Installer/synology-drive-client-17892.dmg (also on global.synologydownload.com). Version 4.0.3-17892 -> version.csv ""4.0.3,17892"": URL path uses full ""4.0.3-17892"" but FILENAME uses only build ""17892"" (synology-drive-client-17892.dmg), so a single {v} cannot map both -> custom. Livecheck: :page_match on https://archive.synology.com/download/Utility/SynologyDriveClient. artifact=pkg (nested; inner pkg name resolved on-Mac). homepage https://www.synology.com/en-global/dsm/feature/drive (200)."
teamwire	custom		high	Arch-split non-electron dmgs. https://desktop.teamwire.eu/download.php?platform=darwinArm64 302->https://desktop.teamwire.eu/dist/v4.7.2/teamwire-4.7.2-mac-arm64.dmg ; platform=darwin 302->https://desktop.teamwire.eu/dist/v4.7.2/teamwire-4.7.2-mac-x64.dmg . Version 4.7.2. Stable versioned url template: https://desktop.teamwire.eu/dist/v#{version}/teamwire-#{version}-mac-arm64.dmg and -mac-x64.dmg. Custom because arch-split (arm64/x64 separate dmgs) -> needs arch arm:/intel: mapping. Livecheck: :header_match on the download.php redirect, regex dist/v(\d+(?:\.\d+)+)/. receipt eu.teamwire.app. homepage https://www.teamwire.eu (200).
things	row	things | Things | Personal task manager and to-do list organizer | zip | direct | https://culturedcode.com/things/ | url=https://static.culturedcode.com/things/Things3.zip;vers=https://culturedcode.com/things/mac/help/releasenotes/;vregex=[0-9]+(\.[0-9]+)+	high	"Verified live: https://culturedcode.com/things/download/ 302->https://static.culturedcode.com/things/Things3.zip (HTTP 200, application/zip, magic PK\x03\x04). Version 3.22.11 read from release-notes page (first [0-9]+(\.[0-9]+)+ match = 3.22.11; ""Things for Mac 3.22.11""). URL unversioned but version concrete + page_match livecheck. Download host static.culturedcode.com != homepage host -> verified: auto-added. No existing 'things' cask (formulae.brew.sh + repo both 404; only thingsmacsandboxhelper exists)."
trint	custom		high	Arch-split zips via electron-style RELEASES.json feed (not latest-mac.yml). arm64: https://desktopapp.trint.com/updates/darwin/arm64/Trint-darwin-arm64-0.1.22.zip ; x64: https://desktopapp.trint.com/updates/darwin/x64/Trint-darwin-x64-0.1.22.zip (both HTTP 200). Version 0.1.22 (currentRelease in both RELEASES.json). Custom: arch-split + .zip + JSON feed don't fit the electron source (which forces .dmg + latest-mac.yml). Livecheck: :json on https://desktopapp.trint.com/updates/darwin/arm64/RELEASES.json field currentRelease. artifact=zip. homepage https://trint.com (200).
ultracompare	review		low	"Only an unversioned dmg https://downloads.ultraedit.com/main/uc/mac/UltraCompare.dmg (HTTP 200 but last-modified 2024-05-15, stale; no content-disposition version). Versioned dmg patterns (UltraCompare-27.7.dmg etc.) all 404. Version scheme ambiguous across sources (Mac changelog shows 27.7; vendor ""UE 2025.0""). No reliable versioned URL or machine-readable livecheck. Reason: unversioned."
universal-type-client	custom		high	pkgInZip (nested pkg). Verified live: https://bin.extensis.com/UTC-7-0-13-M.zip (HTTP 200, zip), linked from https://www.extensis.com/support/universal-type-server-7/ . Version 7.0.13 -> URL uses DASH form UTC-7-0-13-M.zip (dots replaced by dashes), so a plain {v} (dotted) cannot map -> custom. Livecheck: :page_match on the support page, regex UTC-(\d+(?:-\d+)+)-M\.zip then convert dashes->dots. artifact=zip (nested pkgInZip; inner pkg resolved on-Mac). homepage https://www.extensis.com (200).
visualz	custom		high	Arch-split GitHub release dmgs (v3.0.9, repo madchops1/visualz-releases): Visualz-3.0.9-arm64.dmg and Visualz-3.0.9-x64.dmg (arm64 dmg verified HTTP 200 via release-assets redirect). Stable url template: https://github.com/madchops1/visualz-releases/releases/download/v#{version}/Visualz-#{version}-arm64.dmg (and -x64.dmg). Custom: arch-split GitHub (arm/intel separate dmgs) -> arch arm:/intel: mapping. Livecheck: :github_latest (regex on tag, strip leading v). artifact=dmg. homepage https://github.com/madchops1/visualz-releases (200).
vivi	custom		high	Plain pkg via stable redirect: https://api.vivi.io/mac 302->https://downloads.vivi.io/app/Vivi-3.10.5.pkg (HTTP 200, octet-stream). Version 3.10.5. Clean versioned url template https://downloads.vivi.io/app/Vivi-#{version}.pkg . Custom because the natural livecheck is :header_match on https://api.vivi.io/mac (regex Vivi-(\d+(?:\.\d+)+)\.pkg) which the cask-master direct source can't express (it only does page_match); direct host downloads.vivi.io != homepage so verified: downloads.vivi.io/ needed. receipt au.com.viviaustralia.mac. artifact=pkg. homepage https://vivi.io (200).
vonage-business	row	vonage-business | Vonage Business | Calling, messaging, and meetings for unified communications | dmg | electron | https://businesssupport.vonage.com/ | feed=https://s3.amazonaws.com/vbcdesktop.vonage.com/prod/mac/latest-mac.yml;universal=Vonage Business-{v}-universal	high	"Electron latest-mac.yml verified: version 2.26.3, universal dmg ""Vonage Business-2.26.3-universal.dmg"" verified HTTP 200 (application/x-apple-diskimage) at https://s3.amazonaws.com/vbcdesktop.vonage.com/prod/mac/ . Livecheck :electron_builder on the yml. Note: download host s3.amazonaws.com differs from homepage -> audit may want verified: ""s3.amazonaws.com/vbcdesktop.vonage.com/""; add on DRYRUN if flagged. homepage businesssupport.vonage.com (200; www.vonage.com 403s brew). artifact=dmg, universal."
windsurf	custom		high	"Arch-split via JSON update API (app rebranded ""Devin"", token windsurf). arm64: https://windsurf-stable.codeium.com/api/update/darwin-arm64-dmg/stable/latest -> url https://windsurf-stable.codeiumdata.com/darwin-arm64-dmg/stable/<HASH>/Devin-darwin-arm64-3.0.28.dmg ; x64 analogous (Devin-darwin-x64-3.0.28.dmg). Version 3.0.28 (windsurfVersion/displayName); productVersion 1.110.1. Custom: real dmg URL embeds a non-derivable commit-hash path segment so no stable versioned url template; arch-split. Livecheck: :json on the API endpoint, field windsurfVersion (or productVersion). artifact=dmg. homepage https://windsurf.com (200). No existing windsurf cask (404)."
workbrew	custom		med	Plain pkg, only public source is the stable redirect https://console.workbrew.com/downloads/macos 303->GitHub signed asset Workbrew-1.9.3.pkg (HTTP 200; content-disposition filename=Workbrew-1.9.3.pkg). Version 1.9.3. No public versioned URL: pkg is NOT attached to public GitHub releases (github.com/Workbrew/workbrew is 404/private) and the signed GitHub URL expires. Custom: url = the stable unversioned redirect; livecheck :header_match on it, regex Workbrew-(\d+(?:\.\d+)+)\.pkg . artifact=pkg. homepage https://workbrew.com (200). receipt resolved on-Mac.
xink	review		med	account-gated SaaS email-signature client; download https://downloads.xink.io/macos/pkg is unversioned and no public version page found
zerotier	review		high	duplicate of existing Homebrew cask zerotier-one (ZeroTier One)
zoho-workdrive-genie	review		med	"download confirmed (200, ~55MB) https://www.zoho.com/workdrive/downloads/edit-tool/Zoho_WorkDrive_Genie.dmg but unversioned ""latest"" with no public version source -> would need version :latest + sha256 :no_check (Homebrew discourages for new casks)"
